altitude_km,pressure_hpa,temperature_k,air_number_density_cm3
-0.308928950,1050.000000000,294.200000000,2.585016670e+19
0.000000000,1013.000000000,294.200000000,2.493925606e+19
0.991782946,902.000000000,289.700000000,2.255146498e+19
1.980470135,802.000000000,285.200000000,2.036768006e+19
2.986930652,710.000000000,279.200000000,1.841872875e+19
3.979116196,628.000000000,273.200000000,1.664928801e+19
4.970712338,554.000000000,267.200000000,1.501723677e+19
5.967550154,487.000000000,261.200000000,1.350431333e+19
6.977986444,426.000000000,254.700000000,1.211427342e+19
7.975625848,372.000000000,248.200000000,1.085570118e+19
8.966152744,324.000000000,241.700000000,9.709236439e+18
9.960186724,281.000000000,235.300000000,8.649701296e+18
10.947065514,243.000000000,228.800000000,7.692490539e+18
11.942176025,209.000000000,222.300000000,6.809630400e+18
12.935674852,179.000000000,215.800000000,6.007839307e+18
13.926833435,153.000000000,215.700000000,5.137572967e+18
14.955364370,130.000000000,215.700000000,4.365258076e+18
15.952962869,111.000000000,215.700000000,3.727258819e+18
16.935718137,95.000000000,215.700000000,3.189996287e+18
17.929260826,81.200000000,216.800000000,2.712773090e+18
18.919121336,69.500000000,217.900000000,2.310171872e+18
19.912924041,59.500000000,219.200000000,1.966043548e+18
20.904691850,51.000000000,220.400000000,1.676004974e+18
21.903988584,43.700000000,221.600000000,1.428329475e+18
22.881827191,37.600000000,222.800000000,1.222332547e+18
23.895411464,32.200000000,223.900000000,1.041642030e+18
24.884620185,27.700000000,225.100000000,8.912940173e+17
27.362662098,19.070000000,228.450000000,6.046112836e+17
29.851056073,13.200000000,233.700000000,4.091023141e+17
32.273823002,9.300000000,239.000000000,2.818394385e+17
34.790522051,6.520000000,245.200000000,1.925944852e+17
37.262299627,4.640000000,251.300000000,1.337341154e+17
39.732627068,3.330000000,257.500000000,9.366637599e+16
42.199110396,2.410000000,263.700000000,6.619476277e+16
44.653734302,1.760000000,269.900000000,4.723093038e+16
47.132209647,1.290000000,275.200000000,3.395142429e+16
49.590388515,0.951000000,275.700000000,2.498391353e+16
54.482650910,0.515000000,269.300000000,1.385120615e+16
59.400687047,0.272000000,257.100000000,7.662730379e+15
64.285780175,0.139000000,240.100000000,4.193139949e+15
69.179675812,0.067000000,218.100000000,2.225029916e+15
74.050475635,0.030000000,196.100000000,1.108052603e+15
79.014987902,0.012000000,174.100000000,4.992282952e+14
83.906284283,0.004480000,165.100000000,1.965385095e+14
88.761257459,0.001640000,165.000000000,7.199073725e+13
93.608256166,0.000625000,178.300000000,2.538898807e+13
98.383977872,0.000258000,190.500000000,9.809377392e+12
