1.0E-46      ! scale_factor sigma in cm**5/molecule**2
0           ! header lines
378         ! data lines, nlam
# O2-O2 CIA subset extracted from vendor/disamar-fortran/RefSpec/O2O2T_BIRA.dat
# Wavelength    a0            a1          a2
  760.8064414   4.88E+00    0.00E+00    0.00E+00
  760.8343477   4.89E+00    0.00E+00    0.00E+00
  760.8622618   4.90E+00    0.00E+00    0.00E+00
  760.8901721   4.90E+00    0.00E+00    0.00E+00
  760.9180845   4.90E+00    0.00E+00    0.00E+00
  760.9459989   4.91E+00    0.00E+00    0.00E+00
  760.9739154   4.91E+00    0.00E+00    0.00E+00
  761.0018340   4.91E+00    0.00E+00    0.00E+00
  761.0297603   4.92E+00    0.00E+00    0.00E+00
  761.0576830   4.92E+00    0.00E+00    0.00E+00
  761.0856076   4.92E+00    0.00E+00    0.00E+00
  761.1135344   4.92E+00    0.00E+00    0.00E+00
  761.1414631   4.92E+00    0.00E+00    0.00E+00
  761.1693940   4.92E+00    0.00E+00    0.00E+00
  761.1973327   4.93E+00    0.00E+00    0.00E+00
  761.2252676   4.93E+00    0.00E+00    0.00E+00
  761.2532046   4.93E+00    0.00E+00    0.00E+00
  761.2811436   4.93E+00    0.00E+00    0.00E+00
  761.3090847   4.93E+00    0.00E+00    0.00E+00
  761.3370278   4.93E+00    0.00E+00    0.00E+00
  761.3649788   4.92E+00    0.00E+00    0.00E+00
  761.3929260   4.92E+00    0.00E+00    0.00E+00
  761.4208753   4.92E+00    0.00E+00    0.00E+00
  761.4488267   4.92E+00    0.00E+00    0.00E+00
  761.4767800   4.92E+00    0.00E+00    0.00E+00
  761.5047355   4.92E+00    0.00E+00    0.00E+00
  761.5326988   4.92E+00    0.00E+00    0.00E+00
  761.5606583   4.92E+00    0.00E+00    0.00E+00
  761.5886199   4.92E+00    0.00E+00    0.00E+00
  761.6165836   4.92E+00    0.00E+00    0.00E+00
  761.6445493   4.91E+00    0.00E+00    0.00E+00
  761.6725171   4.91E+00    0.00E+00    0.00E+00
  761.7004927   4.91E+00    0.00E+00    0.00E+00
  761.7284646   4.91E+00    0.00E+00    0.00E+00
  761.7564385   4.91E+00    0.00E+00    0.00E+00
  761.7844145   4.91E+00    0.00E+00    0.00E+00
  761.8123925   4.91E+00    0.00E+00    0.00E+00
  761.8403726   4.91E+00    0.00E+00    0.00E+00
  761.8683606   4.91E+00    0.00E+00    0.00E+00
  761.8963448   4.91E+00    0.00E+00    0.00E+00
  761.9243310   4.91E+00    0.00E+00    0.00E+00
  761.9523193   4.91E+00    0.00E+00    0.00E+00
  761.9803097   4.91E+00    0.00E+00    0.00E+00
  762.0083021   4.91E+00    0.00E+00    0.00E+00
  762.0363024   4.91E+00    0.00E+00    0.00E+00
  762.0642990   4.91E+00    0.00E+00    0.00E+00
  762.0922976   4.91E+00    0.00E+00    0.00E+00
  762.1202982   4.91E+00    0.00E+00    0.00E+00
  762.1483010   4.91E+00    0.00E+00    0.00E+00
  762.1763057   4.92E+00    0.00E+00    0.00E+00
  762.2043184   4.92E+00    0.00E+00    0.00E+00
  762.2323273   4.92E+00    0.00E+00    0.00E+00
  762.2603382   4.92E+00    0.00E+00    0.00E+00
  762.2883512   4.93E+00    0.00E+00    0.00E+00
  762.3163663   4.93E+00    0.00E+00    0.00E+00
  762.3443834   4.93E+00    0.00E+00    0.00E+00
  762.3724084   4.94E+00    0.00E+00    0.00E+00
  762.4004296   4.94E+00    0.00E+00    0.00E+00
  762.4284530   4.95E+00    0.00E+00    0.00E+00
  762.4564783   4.95E+00    0.00E+00    0.00E+00
  762.4845057   4.96E+00    0.00E+00    0.00E+00
  762.5125352   4.96E+00    0.00E+00    0.00E+00
  762.5405726   4.97E+00    0.00E+00    0.00E+00
  762.5686062   4.97E+00    0.00E+00    0.00E+00
  762.5966419   4.98E+00    0.00E+00    0.00E+00
  762.6246796   4.99E+00    0.00E+00    0.00E+00
  762.6527194   4.99E+00    0.00E+00    0.00E+00
  762.6807613   5.00E+00    0.00E+00    0.00E+00
  762.7088110   5.01E+00    0.00E+00    0.00E+00
  762.7368570   5.02E+00    0.00E+00    0.00E+00
  762.7649050   5.03E+00    0.00E+00    0.00E+00
  762.7929551   5.04E+00    0.00E+00    0.00E+00
  762.8210073   5.04E+00    0.00E+00    0.00E+00
  762.8490615   5.05E+00    0.00E+00    0.00E+00
  762.8771236   5.06E+00    0.00E+00    0.00E+00
  762.9051820   5.07E+00    0.00E+00    0.00E+00
  762.9332424   5.08E+00    0.00E+00    0.00E+00
  762.9613049   5.09E+00    0.00E+00    0.00E+00
  762.9893695   5.10E+00    0.00E+00    0.00E+00
  763.0174361   5.11E+00    0.00E+00    0.00E+00
  763.0455106   5.13E+00    0.00E+00    0.00E+00
  763.0735813   5.14E+00    0.00E+00    0.00E+00
  763.1016541   5.15E+00    0.00E+00    0.00E+00
  763.1297290   5.16E+00    0.00E+00    0.00E+00
  763.1578060   5.17E+00    0.00E+00    0.00E+00
  763.1858850   5.18E+00    0.00E+00    0.00E+00
  763.2139719   5.19E+00    0.00E+00    0.00E+00
  763.2420550   5.21E+00    0.00E+00    0.00E+00
  763.2701402   5.22E+00    0.00E+00    0.00E+00
  763.2982275   5.23E+00    0.00E+00    0.00E+00
  763.3263169   5.24E+00    0.00E+00    0.00E+00
  763.3544083   5.25E+00    0.00E+00    0.00E+00
  763.3825076   5.26E+00    0.00E+00    0.00E+00
  763.4106031   5.28E+00    0.00E+00    0.00E+00
  763.4387008   5.29E+00    0.00E+00    0.00E+00
  763.4668004   5.30E+00    0.00E+00    0.00E+00
  763.4949022   5.31E+00    0.00E+00    0.00E+00
  763.5230118   5.32E+00    0.00E+00    0.00E+00
  763.5511177   5.33E+00    0.00E+00    0.00E+00
  763.5792257   5.34E+00    0.00E+00    0.00E+00
  763.6073357   5.36E+00    0.00E+00    0.00E+00
  763.6354478   5.37E+00    0.00E+00    0.00E+00
  763.6635620   5.38E+00    0.00E+00    0.00E+00
  763.6916841   5.39E+00    0.00E+00    0.00E+00
  763.7198024   5.40E+00    0.00E+00    0.00E+00
  763.7479228   5.41E+00    0.00E+00    0.00E+00
  763.7760452   5.42E+00    0.00E+00    0.00E+00
  763.8041697   5.43E+00    0.00E+00    0.00E+00
  763.8322963   5.44E+00    0.00E+00    0.00E+00
  763.8604308   5.44E+00    0.00E+00    0.00E+00
  763.8885616   5.45E+00    0.00E+00    0.00E+00
  763.9166944   5.46E+00    0.00E+00    0.00E+00
  763.9448293   5.47E+00    0.00E+00    0.00E+00
  763.9729662   5.47E+00    0.00E+00    0.00E+00
  764.0011053   5.48E+00    0.00E+00    0.00E+00
  764.0292464   5.49E+00    0.00E+00    0.00E+00
  764.0573954   5.49E+00    0.00E+00    0.00E+00
  764.0855406   5.50E+00    0.00E+00    0.00E+00
  764.1136880   5.50E+00    0.00E+00    0.00E+00
  764.1418373   5.50E+00    0.00E+00    0.00E+00
  764.1699888   5.51E+00    0.00E+00    0.00E+00
  764.1981424   5.51E+00    0.00E+00    0.00E+00
  764.2263038   5.51E+00    0.00E+00    0.00E+00
  764.2544615   5.51E+00    0.00E+00    0.00E+00
  764.2826213   5.51E+00    0.00E+00    0.00E+00
  764.3107831   5.51E+00    0.00E+00    0.00E+00
  764.3389471   5.51E+00    0.00E+00    0.00E+00
  764.3671130   5.51E+00    0.00E+00    0.00E+00
  764.3952870   5.51E+00    0.00E+00    0.00E+00
  764.4234571   5.51E+00    0.00E+00    0.00E+00
  764.4516293   5.50E+00    0.00E+00    0.00E+00
  764.4798036   5.50E+00    0.00E+00    0.00E+00
  764.5079800   5.49E+00    0.00E+00    0.00E+00
  764.5361643   5.49E+00    0.00E+00    0.00E+00
  764.5643449   5.48E+00    0.00E+00    0.00E+00
  764.5925275   5.47E+00    0.00E+00    0.00E+00
  764.6207122   5.47E+00    0.00E+00    0.00E+00
  764.6488989   5.46E+00    0.00E+00    0.00E+00
  764.6770878   5.45E+00    0.00E+00    0.00E+00
  764.7052845   5.44E+00    0.00E+00    0.00E+00
  764.7334775   5.43E+00    0.00E+00    0.00E+00
  764.7616726   5.41E+00    0.00E+00    0.00E+00
  764.7898698   5.40E+00    0.00E+00    0.00E+00
  764.8180690   5.39E+00    0.00E+00    0.00E+00
  764.8462703   5.37E+00    0.00E+00    0.00E+00
  764.8744737   5.36E+00    0.00E+00    0.00E+00
  764.9026851   5.34E+00    0.00E+00    0.00E+00
  764.9308926   5.32E+00    0.00E+00    0.00E+00
  764.9591023   5.31E+00    0.00E+00    0.00E+00
  764.9873140   5.29E+00    0.00E+00    0.00E+00
  765.0155278   5.27E+00    0.00E+00    0.00E+00
  765.0437437   5.25E+00    0.00E+00    0.00E+00
  765.0719675   5.23E+00    0.00E+00    0.00E+00
  765.1001875   5.20E+00    0.00E+00    0.00E+00
  765.1284097   5.18E+00    0.00E+00    0.00E+00
  765.1566339   5.16E+00    0.00E+00    0.00E+00
  765.1848602   5.13E+00    0.00E+00    0.00E+00
  765.2130885   5.11E+00    0.00E+00    0.00E+00
  765.2413249   5.08E+00    0.00E+00    0.00E+00
  765.2695574   5.06E+00    0.00E+00    0.00E+00
  765.2977920   5.03E+00    0.00E+00    0.00E+00
  765.3260287   5.00E+00    0.00E+00    0.00E+00
  765.3542675   4.97E+00    0.00E+00    0.00E+00
  765.3825143   4.94E+00    0.00E+00    0.00E+00
  765.4107572   4.91E+00    0.00E+00    0.00E+00
  765.4390023   4.88E+00    0.00E+00    0.00E+00
  765.4672494   4.85E+00    0.00E+00    0.00E+00
  765.4954986   4.82E+00    0.00E+00    0.00E+00
  765.5237499   4.79E+00    0.00E+00    0.00E+00
  765.5520092   4.75E+00    0.00E+00    0.00E+00
  765.5802646   4.72E+00    0.00E+00    0.00E+00
  765.6085222   4.69E+00    0.00E+00    0.00E+00
  765.6367818   4.65E+00    0.00E+00    0.00E+00
  765.6650436   4.62E+00    0.00E+00    0.00E+00
  765.6933074   4.58E+00    0.00E+00    0.00E+00
  765.7215791   4.54E+00    0.00E+00    0.00E+00
  765.7498471   4.51E+00    0.00E+00    0.00E+00
  765.7781172   4.47E+00    0.00E+00    0.00E+00
  765.8063894   4.43E+00    0.00E+00    0.00E+00
  765.8346636   4.39E+00    0.00E+00    0.00E+00
  765.8629400   4.35E+00    0.00E+00    0.00E+00
  765.8912184   4.31E+00    0.00E+00    0.00E+00
  765.9195048   4.27E+00    0.00E+00    0.00E+00
  765.9477874   4.24E+00    0.00E+00    0.00E+00
  765.9760721   4.19E+00    0.00E+00    0.00E+00
  766.0043589   4.15E+00    0.00E+00    0.00E+00
  766.0326477   4.11E+00    0.00E+00    0.00E+00
  766.0609387   4.07E+00    0.00E+00    0.00E+00
  766.0892376   4.03E+00    0.00E+00    0.00E+00
  766.1175328   3.99E+00    0.00E+00    0.00E+00
  766.1458300   3.95E+00    0.00E+00    0.00E+00
  766.1741293   3.91E+00    0.00E+00    0.00E+00
  766.2024307   3.86E+00    0.00E+00    0.00E+00
  766.2307401   3.82E+00    0.00E+00    0.00E+00
  766.2590457   3.78E+00    0.00E+00    0.00E+00
  766.2873534   3.74E+00    0.00E+00    0.00E+00
  766.3156632   3.69E+00    0.00E+00    0.00E+00
  766.3439751   3.65E+00    0.00E+00    0.00E+00
  766.3722890   3.61E+00    0.00E+00    0.00E+00
  766.4006110   3.57E+00    0.00E+00    0.00E+00
  766.4289291   3.52E+00    0.00E+00    0.00E+00
  766.4572493   3.48E+00    0.00E+00    0.00E+00
  766.4855717   3.44E+00    0.00E+00    0.00E+00
  766.5138961   3.40E+00    0.00E+00    0.00E+00
  766.5422226   3.36E+00    0.00E+00    0.00E+00
  766.5705571   3.31E+00    0.00E+00    0.00E+00
  766.5988878   3.27E+00    0.00E+00    0.00E+00
  766.6272206   3.23E+00    0.00E+00    0.00E+00
  766.6555555   3.19E+00    0.00E+00    0.00E+00
  766.6838925   3.14E+00    0.00E+00    0.00E+00
  766.7122316   3.10E+00    0.00E+00    0.00E+00
  766.7405728   3.06E+00    0.00E+00    0.00E+00
  766.7689219   3.02E+00    0.00E+00    0.00E+00
  766.7972673   2.98E+00    0.00E+00    0.00E+00
  766.8256148   2.94E+00    0.00E+00    0.00E+00
  766.8539644   2.90E+00    0.00E+00    0.00E+00
  766.8823160   2.86E+00    0.00E+00    0.00E+00
  766.9106698   2.82E+00    0.00E+00    0.00E+00
  766.9390315   2.78E+00    0.00E+00    0.00E+00
  766.9673895   2.74E+00    0.00E+00    0.00E+00
  766.9957495   2.70E+00    0.00E+00    0.00E+00
  767.0241117   2.67E+00    0.00E+00    0.00E+00
  767.0524759   2.63E+00    0.00E+00    0.00E+00
  767.0808423   2.59E+00    0.00E+00    0.00E+00
  767.1092166   2.55E+00    0.00E+00    0.00E+00
  767.1375871   2.52E+00    0.00E+00    0.00E+00
  767.1659598   2.48E+00    0.00E+00    0.00E+00
  767.1943345   2.44E+00    0.00E+00    0.00E+00
  767.2227113   2.41E+00    0.00E+00    0.00E+00
  767.2510961   2.37E+00    0.00E+00    0.00E+00
  767.2794772   2.34E+00    0.00E+00    0.00E+00
  767.3078603   2.30E+00    0.00E+00    0.00E+00
  767.3362456   2.27E+00    0.00E+00    0.00E+00
  767.3646329   2.24E+00    0.00E+00    0.00E+00
  767.3930223   2.20E+00    0.00E+00    0.00E+00
  767.4214197   2.17E+00    0.00E+00    0.00E+00
  767.4498134   2.14E+00    0.00E+00    0.00E+00
  767.4782091   2.11E+00    0.00E+00    0.00E+00
  767.5066070   2.08E+00    0.00E+00    0.00E+00
  767.5350069   2.05E+00    0.00E+00    0.00E+00
  767.5634090   2.02E+00    0.00E+00    0.00E+00
  767.5918190   1.99E+00    0.00E+00    0.00E+00
  767.6202252   1.96E+00    0.00E+00    0.00E+00
  767.6486336   1.93E+00    0.00E+00    0.00E+00
  767.6770440   1.90E+00    0.00E+00    0.00E+00
  767.7054566   1.87E+00    0.00E+00    0.00E+00
  767.7338713   1.85E+00    0.00E+00    0.00E+00
  767.7622880   1.82E+00    0.00E+00    0.00E+00
  767.7907128   1.79E+00    0.00E+00    0.00E+00
  767.8191338   1.77E+00    0.00E+00    0.00E+00
  767.8475568   1.74E+00    0.00E+00    0.00E+00
  767.8759820   1.72E+00    0.00E+00    0.00E+00
  767.9044093   1.69E+00    0.00E+00    0.00E+00
  767.9328387   1.67E+00    0.00E+00    0.00E+00
  767.9612761   1.65E+00    0.00E+00    0.00E+00
  767.9897097   1.62E+00    0.00E+00    0.00E+00
  768.0181454   1.60E+00    0.00E+00    0.00E+00
  768.0465832   1.58E+00    0.00E+00    0.00E+00
  768.0750231   1.56E+00    0.00E+00    0.00E+00
  768.1034710   1.54E+00    0.00E+00    0.00E+00
  768.1319152   1.51E+00    0.00E+00    0.00E+00
  768.1603614   1.49E+00    0.00E+00    0.00E+00
