wavelength_nm,irradiance
753.00,4.87640000E+14
753.01,4.85749000E+14
753.02,4.84178000E+14
753.03,4.83812000E+14
753.04,4.84731000E+14
753.05,4.86290000E+14
753.06,4.87776000E+14
753.07,4.88783000E+14
753.08,4.89260000E+14
753.09,4.89435000E+14
753.10,4.89590000E+14
753.11,4.89813000E+14
753.12,4.89920000E+14
753.13,4.89649000E+14
753.14,4.89017000E+14
753.15,4.88476000E+14
753.16,4.88538000E+14
753.17,4.89220000E+14
753.18,4.90052000E+14
753.19,4.90595000E+14
753.20,4.90753000E+14
753.21,4.90620000E+14
753.22,4.90243000E+14
753.23,4.89618000E+14
753.24,4.88824000E+14
753.25,4.88004000E+14
753.26,4.86989000E+14
753.27,4.84719000E+14
753.28,4.78602000E+14
753.29,4.64523000E+14
753.30,4.40004000E+14
753.31,4.10877000E+14
753.32,3.92596000E+14
753.33,3.97706000E+14
753.34,4.21870000E+14
753.35,4.48309000E+14
753.36,4.64407000E+14
753.37,4.69340000E+14
753.38,4.69289000E+14
753.39,4.70232000E+14
753.40,4.74132000E+14
753.41,4.79386000E+14
753.42,4.83806000E+14
753.43,4.86619000E+14
753.44,4.88137000E+14
753.45,4.88824000E+14
753.46,4.89035000E+14
753.47,4.89096000E+14
753.48,4.89216000E+14
753.49,4.89293000E+14
753.50,4.88747000E+14
753.51,4.86533000E+14
753.52,4.81814000E+14
753.53,4.75484000E+14
753.54,4.70847000E+14
753.55,4.71219000E+14
753.56,4.76388000E+14
753.57,4.82846000E+14
753.58,4.87479000E+14
753.59,4.89649000E+14
753.60,4.90173000E+14
753.61,4.89840000E+14
753.62,4.89073000E+14
753.63,4.88221000E+14
753.64,4.87633000E+14
753.65,4.87392000E+14
753.66,4.87293000E+14
753.67,4.87177000E+14
753.68,4.87095000E+14
753.69,4.87229000E+14
753.70,4.87748000E+14
753.71,4.88613000E+14
753.72,4.89523000E+14
753.73,4.90159000E+14
753.74,4.90406000E+14
753.75,4.90343000E+14
753.76,4.90149000E+14
753.77,4.90027000E+14
753.78,4.90078000E+14
753.79,4.90250000E+14
753.80,4.90396000E+14
753.81,4.90362000E+14
753.82,4.90088000E+14
753.83,4.89735000E+14
753.84,4.89590000E+14
753.85,4.89709000E+14
753.86,4.89837000E+14
753.87,4.89764000E+14
753.88,4.89585000E+14
753.89,4.89501000E+14
753.90,4.89519000E+14
753.91,4.89411000E+14
753.92,4.88851000E+14
753.93,4.87635000E+14
753.94,4.86040000E+14
753.95,4.84903000E+14
753.96,4.84963000E+14
753.97,4.86054000E+14
753.98,4.87225000E+14
753.99,4.87727000E+14
754.00,4.87602000E+14
754.01,4.87332000E+14
754.02,4.87306000E+14
754.03,4.87684000E+14
754.04,4.88407000E+14
754.05,4.89221000E+14
754.06,4.89855000E+14
754.07,4.90208000E+14
754.08,4.90296000E+14
754.09,4.90140000E+14
754.10,4.89752000E+14
754.11,4.89186000E+14
754.12,4.88554000E+14
754.13,4.87968000E+14
754.14,4.87513000E+14
754.15,4.87342000E+14
754.16,4.87655000E+14
754.17,4.88426000E+14
754.18,4.89264000E+14
754.19,4.89734000E+14
754.20,4.89703000E+14
754.21,4.89124000E+14
754.22,4.87532000E+14
754.23,4.84346000E+14
754.24,4.80252000E+14
754.25,4.77689000E+14
754.26,4.78649000E+14
754.27,4.82353000E+14
754.28,4.86268000E+14
754.29,4.88752000E+14
754.30,4.89786000E+14
754.31,4.89962000E+14
754.32,4.89649000E+14
754.33,4.88860000E+14
754.34,4.87519000E+14
754.35,4.85802000E+14
754.36,4.84085000E+14
754.37,4.82319000E+14
754.38,4.80011000E+14
754.39,4.77567000E+14
754.40,4.76832000E+14
754.41,4.79049000E+14
754.42,4.83033000E+14
754.43,4.86490000E+14
754.44,4.88313000E+14
754.45,4.88911000E+14
754.46,4.89094000E+14
754.47,4.89253000E+14
754.48,4.89314000E+14
754.49,4.89109000E+14
754.50,4.88673000E+14
754.51,4.88222000E+14
754.52,4.87902000E+14
754.53,4.87625000E+14
754.54,4.87289000E+14
754.55,4.87029000E+14
754.56,4.87050000E+14
754.57,4.87314000E+14
754.58,4.87594000E+14
754.59,4.87740000E+14
754.60,4.87791000E+14
754.61,4.87869000E+14
754.62,4.88045000E+14
754.63,4.88288000E+14
754.64,4.88528000E+14
754.65,4.88727000E+14
754.66,4.88888000E+14
754.67,4.89013000E+14
754.68,4.89058000E+14
754.69,4.88952000E+14
754.70,4.88677000E+14
754.71,4.88352000E+14
754.72,4.88128000E+14
754.73,4.87907000E+14
754.74,4.87262000E+14
754.75,4.85862000E+14
754.76,4.84015000E+14
754.77,4.82463000E+14
754.78,4.81098000E+14
754.79,4.77852000E+14
754.80,4.69818000E+14
754.81,4.57199000E+14
754.82,4.46286000E+14
754.83,4.45218000E+14
754.84,4.55056000E+14
754.85,4.68415000E+14
754.86,4.77846000E+14
754.87,4.81870000E+14
754.88,4.82853000E+14
754.89,4.82882000E+14
754.90,4.82697000E+14
754.91,4.82507000E+14
754.92,4.82446000E+14
754.93,4.82550000E+14
754.94,4.82751000E+14
754.95,4.82744000E+14
754.96,4.81640000E+14
754.97,4.78138000E+14
754.98,4.72012000E+14
754.99,4.65919000E+14
755.00,4.64259000E+14
755.01,4.68728000E+14
755.02,4.76296000E+14
755.03,4.82715000E+14
755.04,4.86348000E+14
755.05,4.87970000E+14
755.06,4.88709000E+14
755.07,4.89092000E+14
755.08,4.89221000E+14
755.09,4.89074000E+14
755.10,4.88672000E+14
755.11,4.88227000E+14
755.12,4.88091000E+14
755.13,4.88417000E+14
755.14,4.88942000E+14
755.15,4.89283000E+14
755.16,4.89307000E+14
755.17,4.89129000E+14
755.18,4.88910000E+14
755.19,4.88748000E+14
755.20,4.88665000E+14
755.21,4.88663000E+14
755.22,4.88812000E+14
755.23,4.89175000E+14
755.24,4.89629000E+14
755.25,4.89913000E+14
755.26,4.89800000E+14
755.27,4.89142000E+14
755.28,4.87758000E+14
755.29,4.85344000E+14
755.30,4.81874000E+14
755.31,4.78515000E+14
755.32,4.77424000E+14
755.33,4.79614000E+14
755.34,4.83627000E+14
755.35,4.87145000E+14
755.36,4.89130000E+14
755.37,4.89934000E+14
755.38,4.90204000E+14
755.39,4.90263000E+14
755.40,4.90166000E+14
755.41,4.89841000E+14
755.42,4.88985000E+14
755.43,4.87067000E+14
755.44,4.83964000E+14
755.45,4.80769000E+14
755.46,4.79232000E+14
755.47,4.79919000E+14
755.48,4.81810000E+14
755.49,4.83892000E+14
755.50,4.85950000E+14
755.51,4.87797000E+14
755.52,4.88950000E+14
755.53,4.89201000E+14
755.54,4.88905000E+14
755.55,4.88614000E+14
755.56,4.88508000E+14
755.57,4.88169000E+14
755.58,4.87024000E+14
755.59,4.85119000E+14
755.60,4.83394000E+14
755.61,4.82893000E+14
755.62,4.83745000E+14
755.63,4.85193000E+14
755.64,4.86378000E+14
755.65,4.86647000E+14
755.66,4.85351000E+14
755.67,4.82111000E+14
755.68,4.77917000E+14
755.69,4.75345000E+14
755.70,4.76258000E+14
755.71,4.79301000E+14
755.72,4.80337000E+14
755.73,4.74325000E+14
755.74,4.56899000E+14
755.75,4.28600000E+14
755.76,4.00575000E+14
755.77,3.90410000E+14
755.78,4.05656000E+14
755.79,4.35360000E+14
755.80,4.62291000E+14
755.81,4.78262000E+14
755.82,4.85126000E+14
755.83,4.87510000E+14
755.84,4.88400000E+14
755.85,4.88899000E+14
755.86,4.89205000E+14
755.87,4.89329000E+14
755.88,4.89350000E+14
755.89,4.89363000E+14
755.90,4.89378000E+14
755.91,4.89332000E+14
755.92,4.89128000E+14
755.93,4.88579000E+14
755.94,4.87334000E+14
755.95,4.85048000E+14
755.96,4.81918000E+14
755.97,4.79039000E+14
755.98,4.77733000E+14
755.99,4.78212000E+14
756.00,4.79356000E+14
756.01,4.80060000E+14
756.02,4.80349000E+14
756.03,4.80916000E+14
756.04,4.82064000E+14
756.05,4.83513000E+14
756.06,4.84826000E+14
756.07,4.85667000E+14
756.08,4.85950000E+14
