wavelength_nm,reference_radiance_photons_cm2_s_sr_nm
755.0000,4.36160000e+12
755.0100,4.38630000e+12
755.0200,4.43090000e+12
755.0300,4.47600000e+12
755.0400,4.51130000e+12
755.0500,4.53340000e+12
755.0600,4.54590000e+12
755.0700,4.55380000e+12
755.0800,4.55670000e+12
755.0900,4.55600000e+12
755.1000,4.55380000e+12
755.1100,4.55180000e+12
755.1200,4.55120000e+12
755.1300,4.55260000e+12
755.1400,4.55510000e+12
755.1500,4.55720000e+12
755.1600,4.55800000e+12
755.1700,4.55730000e+12
755.1800,4.55590000e+12
755.1900,4.55450000e+12
755.2000,4.55380000e+12
755.2100,4.55410000e+12
755.2200,4.55560000e+12
755.2300,4.55800000e+12
755.2400,4.56030000e+12
755.2500,4.56110000e+12
755.2600,4.55860000e+12
755.2700,4.55090000e+12
755.2800,4.53630000e+12
755.2900,4.51500000e+12
755.3000,4.49100000e+12
755.3100,4.47270000e+12
755.3200,4.46800000e+12
755.3300,4.47940000e+12
755.3400,4.50120000e+12
755.3500,4.52410000e+12
755.3600,4.54270000e+12
755.3700,4.55410000e+12
755.3800,4.56030000e+12
755.3900,4.56360000e+12
755.4000,4.56290000e+12
755.4100,4.55770000e+12
755.4200,4.54670000e+12
755.4300,4.52900000e+12
755.4400,4.50730000e+12
755.4500,4.48780000e+12
755.4600,4.47700000e+12
755.4700,4.47800000e+12
755.4800,4.48910000e+12
755.4900,4.50580000e+12
755.5000,4.52290000e+12
755.5100,4.53720000e+12
755.5200,4.54670000e+12
755.5300,4.55100000e+12
755.5400,4.55150000e+12
755.5500,4.54970000e+12
755.5600,4.54590000e+12
755.5700,4.53900000e+12
755.5800,4.52880000e+12
755.5900,4.51690000e+12
755.6000,4.50740000e+12
755.6100,4.50410000e+12
755.6200,4.50760000e+12
755.6300,4.51500000e+12
755.6400,4.52080000e+12
755.6500,4.51880000e+12
755.6600,4.50540000e+12
755.6700,4.48280000e+12
755.6800,4.45960000e+12
755.6900,4.44560000e+12
755.7000,4.44380000e+12
755.7100,4.44330000e+12
755.7200,4.41740000e+12
755.7300,4.33530000e+12
755.7400,4.18590000e+12
755.7500,4.00010000e+12
755.7600,3.84700000e+12
755.7700,3.79670000e+12
755.7800,3.87390000e+12
755.7900,4.04280000e+12
755.8000,4.23130000e+12
755.8100,4.38000000e+12
755.8200,4.47050000e+12
755.8300,4.51480000e+12
755.8400,4.53500000e+12
755.8500,4.54530000e+12
755.8600,4.54990000e+12
755.8700,4.55180000e+12
755.8800,4.55260000e+12
755.8900,4.55270000e+12
755.9000,4.55230000e+12
755.9100,4.55090000e+12
755.9200,4.54700000e+12
755.9300,4.53930000e+12
755.9400,4.52580000e+12
755.9500,4.50650000e+12
755.9600,4.48480000e+12
755.9700,4.46620000e+12
755.9800,4.45530000e+12
755.9900,4.45330000e+12
756.0000,4.45730000e+12
756.0100,4.46330000e+12
756.0200,4.46950000e+12
756.0300,4.47670000e+12
756.0400,4.48580000e+12
756.0500,4.49620000e+12
756.0600,4.50600000e+12
756.0700,4.51310000e+12
756.0800,4.51750000e+12
756.0900,4.52010000e+12
