wavelength_nm,irradiance
753.00,4.90531000E+14
753.01,4.88622000E+14
753.02,4.87035000E+14
753.03,4.86661000E+14
753.04,4.87581000E+14
753.05,4.89147000E+14
753.06,4.90639000E+14
753.07,4.91647000E+14
753.08,4.92123000E+14
753.09,4.92295000E+14
753.10,4.92446000E+14
753.11,4.92666000E+14
753.12,4.92771000E+14
753.13,4.92493000E+14
753.14,4.91852000E+14
753.15,4.91303000E+14
753.16,4.91360000E+14
753.17,4.92042000E+14
753.18,4.92875000E+14
753.19,4.93417000E+14
753.20,4.93571000E+14
753.21,4.93432000E+14
753.22,4.93048000E+14
753.23,4.92413000E+14
753.24,4.91610000E+14
753.25,4.90779000E+14
753.26,4.89752000E+14
753.27,4.87462000E+14
753.28,4.81300000E+14
753.29,4.67122000E+14
753.30,4.42436000E+14
753.31,4.13110000E+14
753.32,3.94703000E+14
753.33,3.99843000E+14
753.34,4.24163000E+14
753.35,4.50774000E+14
753.36,4.66976000E+14
753.37,4.71936000E+14
753.38,4.71881000E+14
753.39,4.72825000E+14
753.40,4.76746000E+14
753.41,4.82030000E+14
753.42,4.86474000E+14
753.43,4.89300000E+14
753.44,4.90824000E+14
753.45,4.91510000E+14
753.46,4.91718000E+14
753.47,4.91775000E+14
753.48,4.91891000E+14
753.49,4.91965000E+14
753.50,4.91411000E+14
753.51,4.89179000E+14
753.52,4.84425000E+14
753.53,4.78049000E+14
753.54,4.73377000E+14
753.55,4.73747000E+14
753.56,4.78944000E+14
753.57,4.85439000E+14
753.58,4.90097000E+14
753.59,4.92276000E+14
753.60,4.92798000E+14
753.61,4.92459000E+14
753.62,4.91681000E+14
753.63,4.90819000E+14
753.64,4.90223000E+14
753.65,4.89975000E+14
753.66,4.89872000E+14
753.67,4.89751000E+14
753.68,4.89664000E+14
753.69,4.89794000E+14
753.70,4.90312000E+14
753.71,4.91178000E+14
753.72,4.92089000E+14
753.73,4.92724000E+14
753.74,4.92968000E+14
753.75,4.92899000E+14
753.76,4.92700000E+14
753.77,4.92571000E+14
753.78,4.92618000E+14
753.79,4.92786000E+14
753.80,4.92929000E+14
753.81,4.92890000E+14
753.82,4.92609000E+14
753.83,4.92249000E+14
753.84,4.92098000E+14
753.85,4.92213000E+14
753.86,4.92338000E+14
753.87,4.92261000E+14
753.88,4.92077000E+14
753.89,4.91988000E+14
753.90,4.92001000E+14
753.91,4.91888000E+14
753.92,4.91319000E+14
753.93,4.90091000E+14
753.94,4.88482000E+14
753.95,4.87332000E+14
753.96,4.87388000E+14
753.97,4.88480000E+14
753.98,4.89653000E+14
753.99,4.90154000E+14
754.00,4.90023000E+14
754.01,4.89747000E+14
754.02,4.89716000E+14
754.03,4.90092000E+14
754.04,4.90815000E+14
754.05,4.91629000E+14
754.06,4.92263000E+14
754.07,4.92614000E+14
754.08,4.92698000E+14
754.09,4.92537000E+14
754.10,4.92142000E+14
754.11,4.91567000E+14
754.12,4.90926000E+14
754.13,4.90332000E+14
754.14,4.89870000E+14
754.15,4.89693000E+14
